time,mode,obstacle_count,chosen_offset,speed_limit,min_obstacle_clearance,candidate_count,collision_free_count
1779543149.028171,pass_through,0,0.000,1.000,inf,1,1
1779543149.078178,pass_through,0,0.000,1.000,inf,1,1
1779543149.128382,pass_through,0,0.000,1.000,inf,1,1
1779543149.178122,pass_through,0,0.000,1.000,inf,1,1
1779543149.299318,pass_through,0,0.000,1.000,inf,1,1
1779543149.328186,pass_through,0,0.000,1.000,inf,1,1
1779543149.378225,pass_through,0,0.000,1.000,inf,1,1
1779543149.428114,pass_through,0,0.000,1.000,inf,1,1
1779543149.478478,pass_through,0,0.000,1.000,inf,1,1
1779543149.528111,pass_through,0,0.000,1.000,inf,1,1
1779543149.578122,pass_through,0,0.000,1.000,inf,1,1
1779543149.628151,pass_through,0,0.000,1.000,inf,1,1
1779543149.678233,pass_through,0,0.000,1.000,inf,1,1
1779543149.815815,pass_through,0,0.000,1.000,inf,1,1
1779543149.831727,pass_through,0,0.000,1.000,inf,1,1
1779543149.878259,pass_through,0,0.000,1.000,inf,1,1
1779543149.928143,pass_through,0,0.000,1.000,inf,1,1
1779543149.978242,pass_through,0,0.000,1.000,inf,1,1
1779543150.028136,pass_through,0,0.000,1.000,inf,1,1
1779543150.078129,pass_through,0,0.000,1.000,inf,1,1
1779543150.128118,pass_through,0,0.000,1.000,inf,1,1
1779543150.178194,pass_through,0,0.000,1.000,inf,1,1
1779543150.293795,pass_through,0,0.000,1.000,inf,1,1
1779543150.328110,pass_through,0,0.000,1.000,inf,1,1
1779543150.378214,pass_through,0,0.000,1.000,inf,1,1
1779543150.428277,pass_through,0,0.000,1.000,inf,1,1
1779543150.478191,pass_through,0,0.000,1.000,inf,1,1
1779543150.528226,pass_through,0,0.000,1.000,inf,1,1
1779543150.578130,pass_through,0,0.000,1.000,inf,1,1
1779543150.628175,pass_through,0,0.000,1.000,inf,1,1
1779543150.678252,pass_through,0,0.000,1.000,inf,1,1
1779543150.828262,pass_through,0,0.000,1.000,inf,1,1
1779543150.879036,pass_through,0,0.000,1.000,inf,1,1
1779543150.928245,pass_through,0,0.000,1.000,inf,1,1
1779543150.978261,pass_through,0,0.000,1.000,inf,1,1
1779543151.028106,pass_through,0,0.000,1.000,inf,1,1
1779543151.078228,pass_through,0,0.000,1.000,inf,1,1
1779543151.128380,pass_through,0,0.000,1.000,inf,1,1
1779543151.178122,pass_through,0,0.000,1.000,inf,1,1
1779543151.289254,pass_through,0,0.000,1.000,inf,1,1
1779543151.328402,pass_through,0,0.000,1.000,inf,1,1
1779543151.378198,pass_through,0,0.000,1.000,inf,1,1
1779543151.428113,pass_through,0,0.000,1.000,inf,1,1
1779543151.478216,pass_through,0,0.000,1.000,inf,1,1
1779543151.528405,pass_through,0,0.000,1.000,inf,1,1
1779543151.578162,pass_through,0,0.000,1.000,inf,1,1
1779543151.628249,pass_through,0,0.000,1.000,inf,1,1
1779543151.678152,pass_through,0,0.000,1.000,inf,1,1
1779543151.784964,pass_through,0,0.000,1.000,inf,1,1
1779543151.828294,pass_through,0,0.000,1.000,inf,1,1
1779543151.878099,pass_through,0,0.000,1.000,inf,1,1
1779543151.928370,pass_through,0,0.000,1.000,inf,1,1
1779543151.978162,pass_through,0,0.000,1.000,inf,1,1
1779543152.028127,pass_through,0,0.000,1.000,inf,1,1
1779543152.078187,pass_through,0,0.000,1.000,inf,1,1
1779543152.128277,pass_through,0,0.000,1.000,inf,1,1
1779543152.178123,pass_through,0,0.000,1.000,inf,1,1
1779543152.276267,pass_through,0,0.000,1.000,inf,1,1
1779543152.290619,pass_through,0,0.000,1.000,inf,1,1
1779543152.328248,pass_through,0,0.000,1.000,inf,1,1
1779543152.378249,pass_through,0,0.000,1.000,inf,1,1
1779543152.428157,pass_through,0,0.000,1.000,inf,1,1
